ID_UNIVERSAL,LUGAR_TRABAJO,MERCADO,PROVINCIA,REGION,ANTIGUEDAD,PROMEDIO_EVALUACION,NUM_FEEDBACKS,NUM_CURSOS,SCORE_EDUCACION,NUM_IDIOMAS,MOVILIDAD_DISPONIBLE,COMPETENCIA_GENERAL,liderazgo,comunicacion,trabajo_en_equipo,resolucion_problemas,orientacion_resultados,pensamiento_critico
115977,Mad-Paseo Habana,España,Madrid,Madrid,32.67,4.0,1.0,37.0,0.0,1.0,0.0,7.35,0.0,0.06873109479447055,0.0,0.0,0.0,0.0
140471,Zar-Gran Casa,España,Zaragoza,Aragón,16.67,2.0,1.0,27.0,0.0,0.0,0.0,4.95,0.0,0.17067520525137053,0.0,0.0,0.0,0.0
139899,Lan-Biosfera Plaza,España,Las Palmas,Canarias,18.0,0.0,0.0,17.0,3.0,2.0,1.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0
1850419,Mal-Marques Larios,España,Malaga,Andalucía,0.75,0.0,0.0,2.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
844239,Cord-El Arcangel,España,Cordoba,Andalucía,16.75,2.0,2.0,4.0,0.0,1.0,0.0,1.7000000000000002,0.0,0.0,0.0,0.0,0.0,0.0
117761,Corn-Splau,España,Barcelona,Cataluña,27.5,0.0,0.0,35.0,0.0,0.0,1.0,5.3,0.0,0.24805240725129188,0.13416686073266576,0.0,0.0,0.0
130467,Vilg-Alcalde Rey Davina,España,Pontevedra,Galicia,19.58,0.0,0.0,30.0,0.0,1.0,0.0,4.6,0.0,0.29161826536940183,0.2007545790280827,0.0,0.0,0.0
129207,Alm-Torrecardenas,España,Almeria,Andalucía,19.92,4.0,0.0,34.0,0.0,1.0,0.0,6.799999999999999,0.0,0.09976862355463653,0.0,0.0,0.0,0.0
130170,S.Seb-Getaria,España,Gipuzkoa,País Vasco,19.67,4.0,2.0,12.0,0.0,0.0,0.0,3.5999999999999996,0.0,0.0,0.09363851418295746,0.11224716746590781,0.0,0.0
1873848,Ler-Mayor,España,Lleida,Cataluña,1.08,0.0,0.0,17.0,3.0,4.0,1.0,3.5999999999999996,0.0,0.0,0.24494693516673574,0.0,0.0,0.0
